row,genes,reactions
231,b3918,rxn08205;rxn08201;rxn08203;rxn08200;rxn08199;rxn08204;rxn08202
232,b1208,rxn03908
233,b1661,rxn08206;rxn08208;rxn08209;rxn08207
234,b2128;b2129;b2130;b2131,rxn05181;rxn05159
235,b1801,rxn05582;rxn05579;rxn08213
236,b0314,rxn08213
237,b2599,rxn01000;rxn01256
238,b2600,rxn01268;rxn01256
239,b2329,rxn01255
240,b4039,rxn00966
241,b2538;b2539;b2540;b2542,rxn04598;rxn04597
242,b0614;b0615;b0616;b0617,rxn00265
243,b0612,rxn08216
244,b1249,rxn08228;rxn08232;rxn08230;rxn08226;rxn08227;rxn08231;rxn08229
245,b0789,rxn08228;rxn08232;rxn08230;rxn08226;rxn08227;rxn08231;rxn08229
246,b1592,rxn08233
247,b0155,rxn08233
248,b3816,rxn08991;rxn08241;rxn05616
249,b0914,rxn09097;rxn09076;rxn09091;rxn09095;rxn09087;rxn09085;rxn09079;rxn08760;rxn09059;rxn09078;rxn09053;rxn09099;rxn09094;rxn09088;rxn09089;rxn09055;rxn09100;rxn09074;rxn09075;rxn09090;rxn09057;rxn08243;rxn09077;rxn08787;rxn09086;rxn08788;rxn09096;rxn09054;rxn09073;rxn09056;rxn09058;rxn09098
250,b1102;b1252;b3005;b3006,rxn08250
251,b2436,rxn02303
252,b3867,rxn04704
253,b0038,rxn08254;rxn08257
254,b0037,rxn08260;rxn08269;rxn08255
255,b0036,rxn08258;rxn08256
256,b2677;b2678;b2679,rxn05192;rxn05165;rxn05180;rxn08259
257,b4111,rxn08262;rxn05638;rxn08261;rxn08270
258,b0040,rxn08264;rxn08263
259,b0720,rxn00256
260,b0337,rxn00717
261,b0336,rxn05527
262,b2780,rxn00412
263,b0123,rxn26035;rxn25990
264,b0484,rxn08271
265,b3425,rxn01416
266,b1308,rxn01416
267,b0340,rxn08277
268,b0341,rxn08278
269,b1919,rxn01365
270,b3708,rxn00566;rxn00165;rxn00473
271,b3008,rxn00566;rxn00950
272,b2421,rxn00649
273,b2414,rxn00649
274,b2810,rxn00624
275,b1622,rxn00950
276,b0526,rxn06435
277,b0886;b0887,rxn08280;rxn08675
278,b0978;b0979,rxn08288;rxn08287
279,b0733;b0734,rxn08288
280,b0429;b0430;b0431;b0432,rxn30002
281,b2143,rxn01800;rxn01368
282,b2162,rxn01541;rxn00797
283,b0651,rxn01541;rxn00797
284,b2066,rxn00713;rxn00369
285,b0910,rxn01219;rxn00119;rxn00364
286,b1189,rxn08291
287,b4042,rxn08294;rxn08298;rxn08299;rxn08295;rxn08297;rxn08300;rxn08296
288,b2871,rxn00144
289,b2838,rxn00313
290,b3809,rxn01974
291,b0175,rxn08308;rxn08310;rxn08312;rxn08307;rxn08309;rxn08306;rxn08311
292,b3041,rxn05040
293,b0778,rxn02277
294,b2065,rxn01672
295,b2344,rxn08318;rxn08705;rxn08704;rxn09034;rxn09331;rxn09332;rxn09035
296,b3693,rxn02429
297,b3909,rxn05681;rxn05574
298,b3526,rxn01123
299,b0754,rxn01332
300,b2601,rxn01332
301,b1704,rxn01332
302,b4477,rxn00783
303,b3648,rxn00239;rxn01509
304,b3771,rxn30145;rxn15467
305,b1198;b1199;b1200;b2415;b2416,rxn00745
306,b0596,rxn01094
307,b0594,rxn01093
308,b2541,rxn04599;rxn04600
309,b0348,rxn04603;rxn03038
310,b0031,rxn02929
311,b2478,rxn01644
312,b1606,rxn00686
313,b0048,rxn00686
314,b2315,rxn01603
315,b3930,rxn08333
316,b3058,rxn02504
317,b0945,rxn08335;rxn08336
318,b1062,rxn01465
319,b3177,rxn02201
320,b2303,rxn08341
321,b3389,rxn02212
322,b1693,rxn02213
323,b0421,rxn01466;rxn01213
324,b0029,rxn38844;rxn08352
325,b2232,rxn08353;rxn03395
326,b1587;b1588;b1589;b1590,rxn08354;rxn09313
327,b0894;b0895;b0896,rxn08354;rxn09315;rxn09313;rxn08356
328,b1872;b1873,rxn08357;rxn09316;rxn09314;rxn08355
329,b1865,rxn09013;rxn03173
330,b0099,rxn00301;rxn03173;rxn01351
331,b3575,rxn01911
332,b0103,rxn00100
333,b0425,rxn01790
334,b3774,rxn30595;rxn01790;rxn15466
335,b4381,rxn00784
336,b1185;b3860,rxn08367;rxn08366
337,b2893,rxn08368
338,b2582;b4136,rxn08369
339,b3781;b4136,rxn08369
340,b0604,rxn08370
341,b1098,rxn01513
342,b1238,rxn01518;rxn01143
343,b4384,rxn01859;rxn01985;rxn01358;rxn01548;rxn01446;rxn01138;rxn01799
344,b4382,rxn01799;rxn01146
345,b3640,rxn01519
346,b2251,rxn09014;rxn01222;rxn01519
347,b0173,rxn03958
348,b0420,rxn03909
349,b3564,rxn08380;rxn01199
350,b2975,rxn08350;rxn05470;rxn05602
351,b3603,rxn08350;rxn05470;rxn05602
352,b2927,rxn01331
353,b1288,rxn05325;rxn05323;rxn05357;rxn08398;rxn08392;rxn08393;rxn05326;rxn08395;rxn08390;rxn05351;rxn08387;rxn05352;rxn05324;rxn08399;rxn08391;rxn08394;rxn05356;rxn05322;rxn08396;rxn05327;rxn05355;rxn05353;rxn08397;rxn08386
354,b3622,rxn09021;rxn08407
355,b3785;b3793,rxn08408;rxn08410;rxn08409
356,b3792,rxn08411
